name,address,year
"Du, Xiang-Yun","Dept Dev & Planning, Fibigerstr 13, DK-9220 Aalborg, Denmark",2006
"Zhang, Jizhi","Univ Arizona, Tucson, AZ 85721 USA",2006
"Zhang, Jizhi","Educ Testing Serv, Princeton, NJ USA",2006
"Chen, Charlie C.","Appalachian State Univ, Dept Comp Informat Syst, Boone, NC 28608 USA",2006
"Luo, JS","UCDMC, Dept Psychiat & Behav Sci, Sacramento, CA 95817 USA",2006
"Luo, JS","Amer Psychiat Assoc, Div Educ & Career Dev, Arlington, VA USA",2006
"Luo, JS","Eastern Virginia Med Sch, Dept Psychiat, Norfolk, VA 23501 USA",2006
"Luo, JS","Univ Massachusetts, Sch Med, Dept Psychiat, Boston, MA 02125 USA",2006
"Luo, JS","Brown Univ, Dept Psychiat & Human Behav, Providence, RI 02912 USA",2006
"Luo, JS","Univ Calif Los Angeles, Dept Psychiat & Behav Sci, Los Angeles, CA 90024 USA",2006
"Luo, JS","Med Coll Wisconsin, Dept Psychiat, Milwaukee, WI 53226 USA",2006
"Luo, JS","AATP Technol, New York, NY USA",2006
"Luo, JS","Univ British Columbia, Dept Psychiat, Vancouver, BC, Canada",2006
"Luo, JS","Vahalla Partners, Dept Res, Arlington, VA USA",2006
"Luo, JS","Univ New Mexico, Dept Psychiat, Albuquerque, NM 87131 USA",2006
"Guan, JM","Univ Texas, Dept Hlth & Kinesiol, San Antonio, TX 78249 USA",2006
"Xiang, P","Univ Texas, Dept Hlth & Kinesiol, San Antonio, TX 78249 USA",2006
"Guan, JM","Texas A&M Univ, Dept Hlth & Kinesiol, College Stn, TX 77843 USA",2006
"Xiang, P","Texas A&M Univ, Dept Hlth & Kinesiol, College Stn, TX 77843 USA",2006
"Sun, JC","Columbia Univ, Teachers Coll, Ctr African Educ, New York, NY 10027 USA",2006
"Sun, JC","Brown Univ, Dept Publ Policy, Providence, RI 02912 USA",2006
"Sun, JC","Univ N Dakota, Grand Forks, ND 58201 USA",2006
"Hong, E","Univ Nevada, Las Vegas, NV 89154 USA",2006
"Tan, Emily B.","Univ Santo Tomas, Grad Sch, Manila 1008, Philippines",2006
"Chang, MJ","Univ Calif Los Angeles, Dept Educ, Los Angeles, CA 90024 USA",2006
"Wang, Qi","Cornell Univ, Dept Human Dev, Ithaca, NY 14853 USA",2006
"Yang, Rui","Monash Univ, Monash Ctr Res Int Educ, Fac Educ, Melbourne, Vic, Australia",2006
"Duan, Bing","Nanyang Technol Univ, Sch Elect Elect Engn, Singapore, Singapore",2006
"Ling, Keck Voon","Nanyang Technol Univ, Sch Elect Elect Engn, Singapore, Singapore",2006
