Article_ID	WOS_ID	Year	Title	Authors	Addresses	Affiliations
14878	WOS:000266444900008	2008	Globalizing the Science Curriculum: An Undergraduate Course on Traditional Chinese Medicine as a Complementary Approach to Western Medicine	Yuan, R; Lin, Y	[Yuan, Robert] Univ Maryland, Dept Cell Biol & Mol Genet, College Pk, MD 20742 USA; [Lin, Yuan] Marco Polo Technol, Bethesda, MD 20817 USA	University System of Maryland; University of Maryland College Park
15490	WOS:000269712100005	2009	Professional Development of Teachers for Computer-Supported Collaborative Learning: A Knowledge-Building Approach	Chai, CS; Tan, SC	[Chai, Ching-Sing; Tan, Seng-Chee] Nanyang Technol Univ, Natl Inst Educ, Learning Sci & Technol Acad Grp, Singapore, Singapore	Nanyang Technological University; National Institute of Education (NIE) Singapore
16991	WOS:000207962100004	2009	Perceptions of teachers, students and parents of the characteristics of good teachers: a cross-cultural comparison of China and the United States	Liu, SJ; Meng, LQ	[Liu, Shujie] Univ So Mississippi, Dept Educ Studies & Res, Hattiesburg, MS 39406 USA; [Meng, Lingqi] Louisiana State Univ, Bato Rouge, LA USA	University of Southern Mississippi; Louisiana State University System
17674	WOS:000214758900002	2009	THE EFFECTS OF GENDER AND LEVEL OF STUDY ON LEARNING BEHAVIOUR OF BUSINESS UNDERGRADUATES: A MALAYSIAN EXAMPLE	Chai, LT; Hong, YK	[Chai, Lau Teck; Hong, Yeoh Kim] Univ Tunku Abdul Rahman, Sungai Long, Selangor, Malaysia	Universiti Tunku Abdul Rahman (UTAR)
18118	WOS:000212309900007	2009	A MULTILEVEL APPROACH TO ASSESSING THE INTERACTION EFFECTS ON COLLEGE STUDENT RETENTION	Bai, HY; Pan, W	[Bai, Haiyan] Univ Cent Florida, Orlando, FL 32816 USA; [Pan, Wei] Univ Cincinnati, Cincinnati, OH 45221 USA	State University System of Florida; University of Central Florida; University System of Ohio; University of Cincinnati
19282	WOS:000272854500003	2009	Toward deep learning for adult students in online courses	Ke, FF; Xie, K	[Ke, Fengfeng] Univ New Mexico, Coll Educ, Albuquerque, NM 87131 USA; [Xie, Kui] Mississippi State Univ, Mississippi State, MS 39762 USA	University of New Mexico; Mississippi State University
19765	WOS:000269901000004	2009	Subcultures and Use of Communication Information Technology in Higher Education Institutions	Lin, CC; Ha, L	[Lin, Canchu] Bowling Green State Univ, Dept Interpersonal Community, Bowling Green, OH 43403 USA; [Ha, Louisa] Bowling Green State Univ, Dept Telecommun, Bowling Green, OH 43403 USA	University System of Ohio; Bowling Green State University; University System of Ohio; Bowling Green State University
22008	WOS:000279212500005	2010	Faculty employment at 4-year colleges and universities	Zhang, LA; Liu, XM	[Zhang, Liang] Penn State Univ, Dept Educ Policy Studies, University Pk, PA 16802 USA; [Liu, Xiangmin] Penn State Univ, Dept Labor Studies & Employment Relat, University Pk, PA 16802 USA	Pennsylvania Commonwealth System of Higher Education (PCSHE); Pennsylvania State University; Pennsylvania State University - University Park; Penn State Behrend; United States Department of Labor; Pennsylvania Commonwealth System of Higher Education (PCSHE); Pennsylvania State University; Penn State Behrend; Pennsylvania State University - University Park
23646	WOS:000435162800004	2010	Mentoring and Student Persistence in College: A Study of the Washington State Achievers Program	Hu, SP; Ma, YL	[Hu, Shouping; Ma, Yanli] Florida State Univ, Coll Educ, Dept Educ Leadership & Policy Studies, 1210 Stone Bldg, Tallahassee, FL 32306 USA	State University System of Florida; Florida State University
24091	WOS:000282010500025	2010	Prediction of Student Academic Performance in an Engineering Dynamics Course: Development and Validation of Multivariate Regression Models	Huang, SB; Fang, N	[Huang, Shaobo; Fang, Ning] Utah State Univ, Dept Engn & Technol Educ, Coll Engn, Logan, UT 84322 USA	Utah System of Higher Education; Utah State University
24179	WOS:000214762000005	2010	GLOBALISATION IN CONSTRUCTION MANAGEMENT EDUCATION	Wang, G; Lu, HQ; Ren, ZM	[Wang, George; Lu, Huanqing] East Carolina Univ, Greenville, NC 27858 USA; [Ren, Zhaomin] Univ Glamorgan, Pontypridd, M Glam, Wales	University of North Carolina; East Carolina University; University of South Wales
24571	WOS:000283843100006	2010	Determinants of International Students' Academic Performance A Comparison Between Chinese and Other International Students	Li, G; Chen, W; Duanmu, JL	[Li, Gang; Duanmu, Jing-Lin] Univ Surrey, Sch Management, Guildford GU2 5XH, Surrey, England; [Chen, Wei] Sheffield Hallam Univ, Ctr Int Hospitality Management Res, Fac Org & Management, Sheffield S1 1WB, S Yorkshire, England	University of Surrey; Sheffield Hallam University
26662	WOS:000210706400004	2010	Students' Silent Messages: Can Teacher Verbal and Nonverbal Immediacy Moderate Student Use of Text Messaging in Class?	Wei, FYF; Wang, YK	[Wei, Fang-Yi] Univ Pittsburgh, Broadcast Commun, Pittsburgh, PA 15260 USA; [Wang, Y.] Univ Pittsburgh, Management & Educ, Pittsburgh, PA 15260 USA	Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh; Pennsylvania Commonwealth System of Higher Education (PCSHE); University of Pittsburgh
26831	WOS:000212713000007	2010	Enhancing Teaching and Learning with Digital Storytelling	Wang, SY; Zhan, H	[Wang, Shuyan] Univ Southern Mississippi, Instruct Technol, Hattiesburg, MS 39406 USA; [Zhan, Hong] Embry Riddle Aeronaut Univ, Humanities & Commun Chinese, Prescott, AZ 86301 USA	University of Southern Mississippi; Embry-Riddle Aeronautical University
27343	WOS:000291701600001	2011	Self-perceived competence correlates poorly with objectively measured competence in Evidence Based Medicine among medical students	Lai, NM; Teng, CL	[Lai, Nai Ming] Monash Univ, Jeffrey Cheah Sch Med & Hlth Sci, Dept Paediat, Johor Baharu 80100, Johor, Malaysia; [Teng, Cheong Lieng] Int Med Univ, Dept Family Med, Seremban 70000, Negeri Sembilan, Malaysia	Monash University; Monash University Malaysia; International Medical University Malaysia
28157	WOS:000211754400008	2011	Antecedents and consequences of social media utilization in college teaching: a proposed model with mixed-methods investigation	Cao, YX; Hong, P	[Cao, Yingxia] Univ La Verne, Inst Res, La Verne, CA 91750 USA; [Hong, Paul] Univ Toledo, Coll Business, Operat Management, Toledo, OH USA	University of La Verne; University System of Ohio; University of Toledo
32467	WOS:000444151800004	2011	Technology Capacity Building for Preservice Teachers Through Methods Courses: Taking Science as an Example	Zhou, G; Xu, J	[Zhou, George; Xu, Judy] Univ Windsor, Fac Educ, Windsor, ON, Canada	University of Windsor
34220	WOS:000213479300007	2012	Negative opinion of company environment mediates career choice of Accountancy students	Tong, DYK; Tong, XF	[Tong, David Yoon Kin] Multimedia Univ, Fac Business & Law, Melaka, Malaysia; [Tong, Xue Fa] Multimedia Univ, Ctr Diploma Programmes, Melaka, Malaysia; [Tong, David Yoon Kin] Multimedia Univ, Melaka, Malaysia	Multimedia University; Multimedia University; Multimedia University
35536	WOS:000301857200003	2012	Chinese-English bilingual education in China: a case study of college science majors	Tong, FH; Shi, Q	[Tong, Fuhui; Shi, Qing] Texas A&M Univ, College Stn, TX 77843 USA	Texas A&M University System; Texas A&M University College Station
36142	WOS:000214127500004	2012	Designing and implementing a macro-approaches-based curriculum for heritage language learners	Wu, MH; Chang, TP	[Wu, Ming-Hsuan] Univ Penn, Educ Linguist, Philadelphia, PA 19104 USA; [Chang, Tzumin Peter] Rutgers State Univ, Educ Culture & Soc, New Brunswick, NJ USA	University of Pennsylvania; Rutgers University System; Rutgers University New Brunswick
37187	WOS:000435325200005	2012	Exploring the Differences of Undergraduate Students' Perceptual Learning Styles in International Business Study	Ding, N; Lin, W	[Ding, Ning; Lin, Wei] Hanze Univ Appl Sci, IBS, POB 70030, NL-9704 AA Groningen, Netherlands	
37508	WOS:000307642900001	2012	A Follow-Up Meta-analysis for Word-Problem-Solving Interventions for Students with Mathematics Difficulties	Zhang, D; Xin, YP	[Zhang, Dake] Rutgers State Univ, Piscataway, NJ 08855 USA; [Xin, Yan Ping] Purdue Univ, W Lafayette, IN 47907 USA	Rutgers University System; Rutgers University New Brunswick; Purdue University System; Purdue University
38750	WOS:000212733100002	2012	College Students' Perceptions of Cell Phone Integration in Language Learning	Cui, GQ; Chen, X; Li, W; Wang, SY	[Cui, Guoqiang; Chen, Xin; Li, Wei] Virginia Tech, Instruct Design & Technol, Blacksburg, VA 24061 USA; [Wang, Shuyan] Univ Southern Mississippi, Instruct Technol, Hattiesburg, MS 39406 USA	Virginia Polytechnic Institute & State University; University of Southern Mississippi
38954	WOS:000305705000006	2012	Sticks and stones will break my bones but failure feedback may not hurt me: gender differences in the relationship between achievement motive, coping strategies and environmental mastery	Tan, SH; Pang, JS	[Tan, Ser Hong; Pang, Joyce S.] Nanyang Technol Univ, Div Psychol, Singapore, Singapore	Nanyang Technological University
39902	WOS:000310262300002	2012	The Impact of an Online Learning Community Project on University Chinese as a Foreign Language Students' Motivation	Cai, SR; Zhu, W	[Cai, Shengrong] Wright State Univ, Dayton, OH 45435 USA; [Zhu, Wei] Univ S Florida, Tampa, FL USA	University System of Ohio; Wright State University Dayton; State University System of Florida; University of South Florida
40681	WOS:000444311200005	2012	An examination of gender differences among college students in their usage perceptions of the internet	Hu, T; Zhang, XH; Dai, H; Zhang, P	[Hu, Tao] King Coll, Bristol, TN 37620 USA; [Zhang, Xihui] Univ North Alabama, Florence, AL 35632 USA; [Dai, Hua] Univ Wisconsin, La Crosse, WI 54601 USA; [Zhang, Ping] Middle Tennessee State Univ, Murfreesboro, TN 37132 USA	University of Wisconsin System; Middle Tennessee State University
41493	WOS:000210788300003	2012	Perceived and Implicit Ranking of Academic Journals: An Optimization Choice Model	Xie, FT; Cai, JZ; Pan, Y	[Xie, Frank] Univ South Carolina Aiken, Sch Business Adm, 471 Univ Pkwy, Aiken, SC 29801 USA; [Cai, Jane] Univ Rhode Isl, Kingston, RI 02881 USA; [Pan, Yue] Univ Dayton, Dayton, OH 45469 USA	University of Rhode Island; University System of Ohio; University of Dayton
41927	WOS:000312517900011	2013	Predicting student academic performance in an engineering dynamics course: A comparison of four types of predictive mathematical models	Huang, S; Fang, N	[Huang, Shaobo; Fang, Ning] Utah State Univ, Dept Engn Educ, Logan, UT 84322 USA	Utah System of Higher Education; Utah State University
